id	tweet	predicted_label
24227	@USER 6 gun oncede burdan yazdim ayni sorunu.ayni cevabi ogunde verdiniz.yine ayni cevap..bu kadar zor olan nedir.ya baglarsiniz yada olmuyor der kaparsiniz.	NOT
16870	Ey Üstad!   27.Söz,müslümanları gayretin ve bu ulvî dinin hizmetine teşvik ediyor. Sanki ufukta bir hedef, ehl-i iman için de bir rehber   Barla	NOT
18491	#seniniçin ölürüm demek isterim lakin öldükten sonrası tehlike anne evladını bırakırken sen beni tekme tokat döversin cennete girmek için o yüzden birbirimizi kandırmayalım lütfen	NOT
12902	Kendi derdim bana yetmiyormuşcasına gece gece La Casa de Papelde Moskova'nın öldüğü bölümü izledim gözyaşlarım ekranı görmemi engelliyor şu an	NOT
10470	Şeref ekmek bulamazken şerefsiz bulur	OFF
41193	Yaptığınız hatayla değil yaptıktan sonraki duruşunuzla soğutuyosunuz insanları kendinizden	NOT
10449	Seni benden daha fazla seven birini bulamazsın Bulursan da onun anasını avradını  @USER	NOT
25454	@USER Burası bazı insanlar için kamuflaj görevi yapıyor. Gerçek hayatlarının pisliği ve sapkınkığını, burada yarattıkları hayali karakterler ile kapatıyorlar...	NOT
38013	@USER Amin inşallah cook mutlu olurlar.tatli dil,güler yüzle açılmayacak kapı yokdur.hele kalbin kapısı ,Anlayış sevgi ile birlesince   sonuna kadar açılır, Çifte ömür boyu mutluluklar   dileklerimle bir yastık da kocasınlar.🌹❤🐞🦋🙋‍♀️	NOT
40258	@USER @USER @USER Anayasa Mahkemesi kapatılıp İstiklal Mahkemeleri açılıp teröristler, katiller, sapıklar önce gebertilip daha sonra mahkeme ilamları cesetlerine iğnelensin	NOT
23126	Kalbim gümbür gümbür sanki Türkiye'ye geleceğinizi açıkladınız    Bir fotoğrafla bu hale geldim      @USER	NOT
37474	@USER Kumbahçe Mahallesi Sakallı Sokak da şebeke hattı patlamış. Su boşa akıyor. Ayrıca sokak çok pis ve çok ilgisiz!  Yeni yönetime duyurulur! @USER	NOT
42240	Kafama koyduğumu yaptığıma göre normale dönmüşümdür.Böyle olmaya devam edecem 👀#cumartesi	NOT
31766	@USER ÖNCE BÜTÜN OYLARI BİR SAYSADIYDINIZ. SONRA GEÇERSİZLERE BAKARDINIZ.	NOT
11335	Hiç kuşku yok ki yaptığım en doğru şey; kendini vazgeçilmez sanan insanlardan uzaklaşmak oldu...	NOT
11421	@USER @USER İsminin yanına kullanıcı adını yaz yarın sınavda bence ahsjjdkf	NOT
30773	@USER @USER Buna 2 sene önce gulmemis miydiniz ya	NOT
23175	@USER @USER @USER Git önce adını Türkçe koy sonra gel burda konuş !!	NOT
16616	işi gücü bırakıp, sırtına bir çanta alıp yollara dökülen plaza çalışanı haberlerinden nefret geldi. madem kendini doğaya verdin siktir git niye gazeteye çıkıyorsun habire	OFF
36437	DindarHükümete ZeminHazırladı İmamoğlu'nun vip görüntüleri ortaya çıktı ne it ne de şerefsiz kelimesi geçiyor.Allah'tan korkmaz kuldan utanmaz bunlar	OFF
39361	Tevazusuna da ayrıca hayran kaldım.Bize yerleşen algıda bir milletvekilinin değil koli taşımaya yardım etmesi kendi kolilerini taşıması bile ütopik bir olay üstelik kendini son dakikaya kadar tanıtmadan.Olayın şokuyla yeterince teşekkür edemediğim için teşekkürümü buraya bıraktım	NOT
29211	Herkese hoşt bazılarına gel pisi pisi bilmem anlatabildim mi	NOT
43473	karısını konusmak isteyen paylasmak isteyen varmi ? #cuckoldcift #cuckoldistanbul #cuckoldkocaadayı #cuckoldçiftler #cuckoldtürkiye #karımısikin #karısınısiktirenler gavat pasif #gavatkocalardm   #gavat  #boynuzluko cuckold ensest #ensest	OFF
25214	@USER @USER @USER Çağdaş? Kadını sex objesi gibi reklamlar,da oynatmak içki masalarına meze etmek batı nın efendiliğine itaat edip haçlı birliği nin asli uyesi olmak mı çagdaşlık...	NOT
12820	@USER @USER Orospu çocuğu hemde katıksız 32 yaşıma geldim ama böyle iyi olgunlaşmış orospu çocuğu zor bulunur !!	OFF
33265	Ben: Arya aşığım sana köpeğin olayım muhteşem bir karaktersin       GoT sezon 7 ve 8: Arya nin karakter gelişimini nasıl piç ederim?	NOT
28901	@USER @USER maalesef aynen böyle olur. Bunu engellemenin tek yolu, geldiği hızla geri çıkma riski olan sıcak paranın yerine, kalıcı yabancı yatırımları çekecek güven ve istikrar altyapısını oluşturacak adımlar atmak. Ama sorunu yanlış tespit ettiğimiz için çözümü de yanlış yerde arıyoruz.	NOT
39713	@USER Zaten biz cok ahlakliydik filmler ahlak bozuyodu bu rutuk vergi kazanmak için yapmadiysa bende piçim	NOT
35413	Pervane olan kendini gizler mi hiç alevden?    Sen istedin ondan bu gönül tutuştu.	NOT
25900	benim kafama sıksanda durmam olm ben, sevilmeye devam ederim falan mı dediniz? naptınız evladım siz?	NOT
22241	Ağa sırtını köye doğru döner sonra sorarmış:   'Ula Hasso, ahali bakiy mi?   'Hasso cevap verirmiş: 'Evet ağam, hepisi de bir olmuş, pencerelerden bakir.   'Ağa çisiyle karın üzerine imzasını atarmış 'Abdullah Cizrelioglu'. Sonrada bir nokta koyarmış ve sorarmış:   -Hala bakirler mi?	NOT
44086	9. sınıfta şiir defteri tutardık hocalar kendiniz de 5 tane şiir yazıp getirin demişti tabi benim şiirle ilgim çok ya neyse yazıcak hiçbir şey bulamayınca yabancı şarkıların türkçelerini yazıp vermiştim hoca defterleri geri verirken baya beğendim ne güzel yazıyomuşsun demişti...	NOT
33189	Ben gerçek hesabimla yazıyorum @USER isimle şahıs sen @USER tırnağı olamazsin milleti tehdit edip sindirmeye calisamazsin kendi pisliginde bogulursun unutma	NOT
15099	@USER medeniyet şehri diyarbakırı pis lağım ağzınla anma. önce ağzını yıka. senin ne haddine koca şehre hakaret ediyorsun	NOT
15752	Orospu çocuğu maymun Green amınakodumun çocuğu eşşek orospu çocuğu senin ananın amına koyim ben orospunun oğlu	OFF
44752	@USER Lan sen şehit cenazesini nasıl ağzına alıyorsun.çokmu gücüne gitti yüreği yaralı analara destek veren sanatçılar.pkk ya hdp ye hep can suyu verdiniz.hdp ye her evden bir oy verdiniz.birde utanmadan arlanmadan TC yazmışsın ismin önüne.çok şerefsizsiniz.	OFF
17925	@USER @USER @USER @USER Bunların  alayı Osman Rasim c....anladınız sanırım	NOT
31328	"Aynı korkunç sevdadır   Gökte bulut,dalda kayısı.   Başlar koymağa hapislik.   Karanlık can sıkıntısı...   ""Kürdün gelini""ni söyler maltada biri,   Bense volta'dayım ranza dibinde   Ve hep olmayacak şeyler kurarım,   Gülünç,acemi çocuksu..."	NOT
23626	@USER 😀 kadının sana yazdığı cevap buydu.	NOT
13319	@USER Ya bi siktir git allahın üçüncü takımı	OFF
31713	Tam bir klasik. Koca okulda kapısında kuyruk olan tek sınıf benimkisi. Benden sonra gelen de yol	NOT
34551	#GameofThrones  finalde Arya net Dany'i öldürür.  7 sezon  boyunca işlediğiniz tüm karakterleri milleti sasirticaz diye piç etmişsiniz	NOT
35455	CHP her seçimde “dünyayı kurtaracak lider” diyerek birini pazarlıyor. Sonra da lider diye pazarladıkları seçimi kaybedince adını bile anmıyor! En son Muharrem İnce’yi de böyle pazarladılar. Sonra kapı önüne koydular.	NOT
41148	@USER @USER Takibini yok takibe aldım   Dönerse soraxan geçerli sebebi yoksa engelli göstereceğim nasıl   Atılıyor	NOT
10955	@USER Müslüman dediğin dürüst olur. Dürüst mu yönetenler. Her iki sözden biri yalan. Türk dediğin adaletli olur adalet var mı sizde. Kendi fetoya her istediğini verdi ama bankaya para yatiranlar hapiste. Cumhurbaşkanı dediğin tarafsız olur  seninki kendi gibi olmayanı terörist iln edyr	OFF
31774	@USER Gordunuz mu ne kadar kotuymus ahlaksizca is yapmak secimle gelen secimle gider. Mustafa Cengiz’e darbe yapmayacaktiniz!!! @USER	NOT
34031	@USER Gezizekali kendini birşey bildiğini sanıyor.kul o tarihte hangi manada kullanılırmış bir öğren diyecemde nasıl....	NOT
14816	“Birazdan hava aydınlanacak. Bu işe en çok yanmayan o patlak sokak lambası sevinecek. Kendini gereksiz hissetmenin nasıl bir his olduğunu bilirsin.”	NOT
43890	Gözyaşları sende iğreti durur, gel mutabık olalım hüzünlerle.   Ben seni anlatayım; sen kendini anlat.	NOT
10526	@USER @USER @USER @USER @USER Nesibe başkanın kardeşine hayrı yok bi siz kaldınız zaten	NOT
17938	@USER @USER Size terörist dediler, Meral Akşener'in namusuna laf ettiler ama siz gidip el etek öpüp, elini sıktınız. Helal olsun Size ne mide varmış..	OFF
43457	@USER E hoşgeldiniz geç kaldınız ama	NOT
35185	benim anlamadığım yixing sigara içse ne içmese ne, bu sizi zerre ilgilendirmez haddinizi bilin	NOT
33620	@USER Şair burda bende orospuyum demek istemis	NOT
42178	@USER Gerizekali kadın eski karısı, istedigi ile olur, ayni şeyi erkek yapsa erkektir yapar olur cahil yobazlar	OFF
16135	Yemin ederim çıldırıcam kız sevgilisinin yanına yüzüne nemlendirici bile sürmeden pijamalarıyla gidiyor ve 1 yıldır birlikteler D E L I R I C E M !   SIZ BILMIYORSUNUZ ILAHI ADALET SIZEDE KENDINI GÖSTERECEK PISLIKLER	NOT
28472	Annenenize babanıza demediniz o kadar seni seviyorum diye o nolcak'	NOT
12858	Koltuk sevdasına gelince ülke gündemi bir anda değişiyor gençlere gelince ses yok unutmayın seçimle geldiniz seçimle gidersiniz verilen sözler tutulmali ve mağduriyetler ortadan kaldırılmalı    👇👇👇👇👇👇👇👇👇👇👇   BedelliGelmedenOyYok   @USER @USER @USER	NOT
30756	Bu olayı iktidar yada muhalefete mal eden gerizekalı provakasyoncu güruha sesleniyorum. Hepiniz o pis kanınızda o şerefsiz adi orospu çocuklarıyla boğulacaksınız! #NewZealand	OFF
16089	Ben sevdim eller almadı kendisi orospuydu da gitti...   Kaşar olduğu için kaşar seviyordu ben fazla geldim tabi	NOT
27360	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Deniz karataş anca dolandıcırı bir şerefsiz olur	NOT
35881	Bana bak ezik sen bana kemik uzatacak kalibrede biri değilsin..bana kemik uzatmadan önce eğer sen de o göt varsa yüzünü göster yüzünü.😂haddini bilecek fazla ileri gitmeyeceksin yoksa ben seni kendine getirmesini bilirim😂seni bulur o kemikleri sakladığın yere gömerim.😂😂	OFF
33136	Ok o zaman şöyle diyim;Hiç kimse benim özgürlük alanıma giremez bütün yobazların ecdadını sikeyim	NOT
33455	MİZAHI İYİ OLAN KIZ DİYE BİR ŞEY Mİ VAR AMK HANGİ KIZ O KAPASİTEDE ALLAH AŞKINA KANDIRMAYIN Bİ KENDİNİZİ YA	OFF
23845	nar ayiklamanin zorlugundan bahsetmis biri.   aslinda cok kolay, youtubeda izlemistim ve denedim.   nari ikiye kesersin .su dolu bir kabin ustunde tutup   kasikla sirtina sirtina vurursun. tum taneler kendini suya birakir.   suz ve kasikla;)	NOT
20511	@USER @USER Bu arkadaş işletmesinin adını söyleyebilir mi ? Merak ettim, bir uğrayayım, Bodrum'dayım malum :d	NOT
46203	@USER @USER Ayy keşke bir de fotoğraf çekseydiniz ne tarafa gidiyor izmire mi İstanbul’a mı 😁🙈🤲	NOT
22663	@USER @USER in evini basan itler delikanliysan kandile çıkıp savassinlar yada terörist başı nin olduğu İmralı yi bassinlar	NOT
33928	@USER Hepinizin kökünü kazıycaz. Bir Türk'ün, akan bir damla kanına karşılık sizin 7 ceddinizin anasını okuycaz. Gebereceksiniz şerefsiz o. çocukları	OFF
17339	Neden kendinizi yıpratıyorsunuz?işinizle gücünüzle ilgilenin...bu işi ehillerine bırakın..😂sizden istenen tek şey dua dua dua..hayatınıza kaldıgınız yerden sabırlı şekilde devam edin...	NOT
36755	Bu kadar önemsediginiz bir sınava da bir zahmet erkenden gidip yerinizi alın. Kendi sorumsuzlugunuz için de başkalarına böyle pis pis cümleler kurmayın lütfen.	NOT
44559	@USER TarımaAcil AtamaPakdemirli   Tarım ve Orman Bakanlığında    👉Atamalar orman kısmına   👉Projeler orman kısmına      2. çeyrekte norm bitecek, ardından atama dediniz...      Norm bitti... Bahane kalmadı...   Ama 2 yıldır olduğu gibi yine TARIMA ATAMA YOK!   #ZiraatMühendisleriAtamaBekliyor.9	NOT
43404	şerefsiz evladı 2 yıl bitti 3 olcak hala bekliyom ki sosyal medya hesabı açsın cinlerden perilerden mi alıcaz haberini kahpe :(	OFF
18670	hiç çicek satmazmış çingeneler,    orospuları o yağmur ıslatmazmış   sen geçerken,	NOT
32949	Ben yokken planladınız. Ben yokken yaşadınız. Benim haberim bile olmadan hayatımı bitirdiniz.Neler olup bittiğini anlatacak kadar yüreğiniz bile yok ulan.  Ama koskocaman bir ah aldınız. Hiç birinize zerre hakkımı helal etmiyorum. Kininizde boğulun. Bitti. Sikeee sikeee bitti !	NOT
26775	@USER @USER @USER @USER @USER Ayrıca birçok kişinin Adli para cezası bulunuyor. Cezaevinden çıktıktan sonra bu belada var yani. Saati 10₺den kamuda çalış veya 20₺den günlük açıkta yat. Aynı dosyadan hem para hem hapis cezası alan mahkum sayısı da çok fazla. APC için de bir çalışma varmı hiç bir bilgi yok.	NOT
41888	KAHREDER   Dosya başı değilde toplamdan indirim infaz düzenlemesiyle şikayetten vazgeçilen kamu hapis cezasından yatanlar, ömürlük cezalı mazlumlar kalacak!   Cezası az olanlar mı çıkacak... @USER    İftira yalanla şikayetçi olandan ceza olmayanlar için kamu cezası toplam 35 yıl	NOT
17157	"@USER @USER ""Amına koymak"" küfrünü de dine imana sığdırabildiniz ya Allah bin türlü belanızı verir kardeşim dikkat et."	OFF
34194	@USER Ben de Ramazan orucu için söylemedim. Sizin paylaştığınız ayette anlatılmak istenen sizin sözleriniz değildir, demek istedim. Siz ne demek istediniz?	NOT
45505	Çünkü topluluk Hans Zimmer i taniyor, biliyor. Ayni konseri Türkiye'de ver çıkışta sürprizi beğendiniz mi diye sor, sürpriz neydi diye sorarlar...	NOT
13945	@USER off bu nasıl bi laf sokuştur allam yarebbim nolur kaydet numaramı noolur orospu cocuğu	OFF
21632	Gerçek adını gizleyerek hesap açınca önüne gelene böyle hakaret etmek, zavallı bir eğlence türü oluyor herhalde. Bitmedi vegan nefretiniz. İnadına yaşam hakkı, inadına hayvan özgürlüğü!	NOT
23835	@USER @USER @USER AllahIn başka işi yoktu,çomar yaratsın bir de şerefi de o onunla yollasın. Irkçı ve yobaz olmayan Türk kardeşlerimi tenzih ederek..	NOT
12181	Apartmanın adını unutmamak için evdeki kediye ismini verdik	NOT
28992	Oglum biraz kendinize güvenin lan.yarın evlenince karinizi sikerler valla böyle devam ederseniz	NOT
29274	Telefonumu sıfırladım da numaralı kayıt ederken eski konuşmalara  baktım WP'den, ben hazırlıkta mutlu insanmışım. İyi niyete olan inancım, insanlara güvencim hepsi yok olmuş. Gerçi iyi de olmuş. Bu RUHSUZlaşmamın tek sebebi  ise küfüre bile layık olmayan şerefsiz bir arkadaş.....	NOT
15303	@USER @USER   Sağlık ocağına telefonla randevu alma fikriniz başarılı olmadığı gibi kargaşaya yol açtığını bilin lütfen. Sağlık ocaklarında numaratör var sıra veriyor muayenemizi oluyorduk neden zorlaştırdınız ?	NOT
42172	Ahlak, namus deyince sadece kadından konuşan herkes ahlaksız ve namussuzdur.	NOT
33717	Insan bazen kendini, yaptıklarını göremiyor. Hata da yapabiliyor. Ben de bazen saçma sapan davranabiliyorum. Bunun için eleştiriye açığım. Dediğim gibi dozunu aşmadığı müddetçe.	NOT
43246	Kendinizi fazla mı önemsiyorsunuz sanki ?	NOT
14210	Tüm konuştuklarımı tüm sözlerimi çöp torbasına koyup ağzını sıkıca bağlamak bir elimde torbayı tutup bir ayağımla ona vura vura yürümek istiyorum . Ne demek ben anladınız sanıyorken beni hiç anlamadınız ?	NOT
25979	#ensest #türbanlı #cuckold #cumtribute #swinger #sex #sanal  #pasif #köle  #seks #dm   #azgın #milf #ifşa #liseliaktif #sikiş #porno #porn #tekerkek #am #evliçift #gavat #dul #azdım annesini karısını kızını siktirmek isteyen  sert seven dmdeyim genc sikiciyim 🍷sadece sikiciyim	OFF
24048	"Kendinize ait olan hayatı, başkalarını memnun etmek için kullanmayın...! ""Hayırlı Cumalar"""	NOT
21599	@USER Tam olarak katılmıyorum, yanlız faşist tarafı benziyor. Avrupa sağı ülkesinde yabancı istemez. Türkiye solu ülkesinde yabancı müdahalesi ister vatandaşı olduğu toplumu istemez.	NOT
31669	Yarın bayrammış gibi seçimi bekleyen küçük bir çocuk gibiyim sanki.    Rabbim bize vatan hainleriyle iş tutanlar karşında yeni bir zaferi daha tatdırmayı nasip et.   #Memleketişigönülişi	NOT
41237	@USER @USER senin amını bizim ata siktircem amına koyim	OFF
38237	@USER Memurlar arasında kast sistemi yarattınız? 4A, 4B, 4+2 ve 3+1 diye kendini içlerinde ayrımcılık oluşturdunuz. Artık ikinci sınıf değil üçüncü, dördüncü sınıf memurlar oluştu. Sizin eşitlik, adalet anlayışınız bu mu sayın @USER??      #4BliSözleşmelilereKadro	NOT
37326	@USER Kaşarlı orospu çocuğusun belli..Ama seni yakalayıp yağlı kazıga oturturken   Söylediklerinide buradan yayınlarlar elbet..	OFF
29753	@USER Bu ben benim yazıda çok kötü edebiyat hocası okuyamıyorum sınav kağıdını diye sitem ediyordu nmnmbjbv	NOT
34685	@USER @USER @USER @USER @USER    Ne yapmış bu Mahmut Tanal ?   Teröristleri TBMM ye almak istemiş.   Ortaklık böyle olur mu diyor ?	NOT
19629	@USER Benim 'dine inanmıyorum ' gibi bir cümleden bahsettiğimi gördünüz mü yazımda? Hayır. Çünkü öyle bir ithamda bulunmadım. Keşke sadece yazının bir kısmına değil de tümüne odaklı eleştirseydiniz beni. Belki o zaman gram anlaşılma ihtimalim olabilirdi..	NOT
32527	Türk bayrağına tahammül edemeyenlere sen mazbata ve yetki verirsen ey YSK ey güzel devletim   Teröristler hainler bitmez bu ülkede	NOT
24358	@USER @USER Bu vazgeçmeyi beceremeyen insanın kendini avutmasından başka hiç bir şey değildir.	NOT
38141	@USER Ayrımcılıktan bahsediyorlar ahlaksızlığın arttığını söylüyorlar doğru biraz hadlerini aştı ahlaksızlar	NOT
27506	@USER @USER @USER Tüm bu tartışmaları, rap'i, şehinşahı, khontkar'ı hepsini siktiret   Bi çocuk ya daha el kadar. Sen böyle bir cümlenin içinde el kadar çocuğun ismini geçirebiliyosan, git ve psikolojik destek al insanlığını sorgula	NOT
17930	"Var bir şeyler içimde tuttuğum ama bunu kimseye söyleyemiyorum sanki söylesem ""ilgi çekmek istiyor"" diyeceklermiş gibi korkuyorum böyle de mütevazi bi orospu çocuğuyum mrb"	NOT
43529	@USER @USER Bebelerini kaçıranların , bebeleriyle tehdit ederek aldıkları oy ne kadar geçerlidir? Ne kadar seçme özgürlüğüdür? Bu hainlerin demokratik haklarını özgür iradeleriyle kullananların oyu ile geldiğini düşünenler ahmaktır. Tüm HDP’li belediyelere ACİL KAYYUM ATANMALIDIR.	NOT
10412	@USER Büyük palavra. Nice sanatçılar sporcular yazarlar büyük başarılar elde etti ve çok da seviliyorlar. İnsanlarla geçinemeyip onların fikirlerine saygı duymayanların düşman kazanmalarını başarı olarak görmesi aptalca	NOT
44607	@USER Miraç sen 0rspu ç0cuğusun, öyle olmasaydın kitlen yok diye faşist kitleyi çekmeye çalışmazdın.	NOT
40800	@USER İşlerim var belki sanane yarrak  boş olduğumda da gayet tadını çıkarıyorum	NOT
15972	@USER Ben de senden farklı değilim hadi yapalım 😂😂 #AdınıSenKoy #ErkanMeriç #HazalSubaşı #ZehÖm #HazEr	NOT
19106	@USER Mustafa Bey, bence bu Siyasal İslamcılar Meriç'te, Ege'de, hapishanelerde ölenlere üzülmesin,sahip çıkmasınlar, gerek yoktur. Daha sonra onu da övünç meselesi yaparlar. Allah kalplerini mühürlemiş zaten.	NOT
43766	@USER @USER once ihaleleri daha onceki belediye kac ay ne kadara vermis siz simdi kac ay ne kadara verdiniz aciklayin..belediye yardımları belediye hizmetlerinde yyaptiginiz kesinti ve kapatmalari aciklayin proje hic yok sonra tasarrufta bulunun	NOT
36393	@USER @USER @USER Yaşa mustafa kemal paşa mı buraya bi ünlem koy😉   Sırrı sakık mustafa kemalin itleri mi demişti buraya başka bir ünlem   Sırrı kim hdp hdp kim pkk pkk kim pyd bunlara terörist demeyen kim kemal seçim için koltuk için  ortaklık yaptıklarınız kim hdp hdp kim ünlem   Anladın sanırım!	OFF
29277	@USER merhabalar.      istanbuldan mehmet ben.yanlız yaşıyorum bekarım.      kişilik karakter olarak kendine güvenen yalan konuşmayan dürüst ve aynı zamanda azgın bir bayan arkadaş arayışındayım😊      No:0853 168 43 09      Not:sapiklar beni rahatsız etmesin lütfen.	NOT
23772	Sizin oynayacağınız topa sokayım sezon sonunda hiç birinizi görmek istemiyorum siktirin gidin !!!	NOT
17983	@USER @USER topların İzmir'den atılması büyük bir anlam taşıyor. atıldığı yer atıldığı yön çok önemli. toplar her zaman bize hainlik yapan Avrupa ülkelerine doğru atıldı. Başkanımız her şeyi hesapla yapar	NOT
25498	seni insan yerine koyduğum için mandalinalar bile senden daha fazla insani özellik taşıyordur	NOT
21961	@USER @USER @USER Ulke siz kalacağız diyen siz degilmiydinizki bir oy CHPKK ya bir oy HDPKK ya diyen chp ye oy veren tuncay özkan degilmiydiki abd bizi işgal edecek bizde kabul edeceğiz diyen siz satarsinizda biz bu vatani ne size ne sizin ağa babanız abd ye nede abiniz israil e bırakmayız	OFF
39858	@USER @USER Aynaya bakıyoruz karşımıza sürekli tipsiz ülkücüler çıkıyor. Ne kadar hayvan, tecavüzcü, hırsız ve eroincu varsa ülkücü. Eğitim onlar için ulumak olmuş. Ee iyi uluyanlar ama sizde doğruya doğru!	NOT
36126	@USER Bilal Erdoğan nasıl geçiyor VIP den ? Millet Vekili filan mı kendisi ? Ayrıca yanında chp milletvekilleri vardı ona rağmen geçirtmediniz. Düpedüz provakasyon yapmaya çalışıyorsunuz. Yazık nelerden medet umuyorsunuz.	NOT
19232	Ya siz niye böyle kafayı yediniz :(	OFF
28513	Seksten sonra çocuk olabilmesi için kadının da boşalması gerekseydi dünya nüfusu ne kadar olurdu bin kişi filan heralde	NOT
30612	ben alex standall'a çok pis düştüm özellikle o piercing'i felan	NOT
36497	Ulan can Dündar sen ne şerefsiz bir adamsın yaaa	OFF
32531	@USER @USER Hasta ve yasli diye serbest kalmasi icin ortaligi ayaga kaldirdiniz.madem belediye baskani olacak kadar saglikli niye hapiste değil	NOT
31245	ay çok masum siktir git yavşak bildiğinde naptın sanki çukurdan kovdun oç	OFF
36985	@USER Sabit fikirlilik insanın kimyasında   Yapısında olan bir şey   Bir örnek vereyim   CHP gurup başkan vekili   Engin Altay   Şöyle dedi   İktidar dünyanın en güzel hizmetinide yapsa   Bizim güzel deme gibi bir mecburiyetimiz yok dedi işte sabit   Fikir   Sizde ak Parti'ye olur olmaz haksızlık yamayn	NOT
32130	Gökten orospu çocuğu yağsa sana ayna düşer bil bakalım neden	OFF
14447	@USER Turksat abonesiyim.Hd yayın diye hd decoderi kakaladınız.1.kanal hariç HD yazan  tüm kanallarınız sd yayın  yapıyor😬😬Peşin ödediğim içi katlandım ama yeni sezonda ya Turksatta da tüm kanallarınız  ÇAKMA DEĞİL GERÇEKTEN HD olur.yoksa  işim OLMAZ	NOT
19946	Salına salına bir gelişi var;   Yanında gölgesi , ardında izi...      Vermeyin eline ayna bu kızın:   Kendini görürse unutur bizi.      Ârif Nihad Asya	NOT
28548	@USER Kendini bilge ve belge ilan edip, nüfuzlu olduğunu zanneden bunu da her twitinde dile getiren bir zat. Pek kaideye almıyoruz.	NOT
18982	@USER atışıya bu şey degilmi, Allah in dinini hice sayip hristyan olan, soyunarak mankenlik yapip sonradan da din kitaptan bahseden ebu cehilin tohumu	NOT
36620	@USER @USER Fetöye en başta karşı çıkan cemaat. İçeriye sokmayın bunları diye ikitdar partisine karşı çıkan hoca dediğiniz o şarlatan amerikanın adamı diye bas bas bağıran ama bi türlü kendini duyuramayan tek cemaattir.  Süleymanlı cemaati. Sizde bu iftiralarla çok güzel yere gelrsnz	NOT
21436	Keşke piercingi olan sevgilim olsa piçliğine buluşmaya mıknatısla giderim	NOT
21709	@USER @USER @USER ben haberi okudum ve sana cevabım şudur: siktir lan dalyarak, yüksek lisans öğrencilerinin yıllık maliyeti 35 milyon $mış yani takriben 215 milyon tl. diyanet 7.7 milyar tl ödeneğe ek 550 milyon tl ödenek istedi. sizin gibilerin din, kitap aşkından anası sikildi bu ülkenin	NOT
38609	Çocuğa taciz oldu mu,çocuğa tecavüz oldu mu yeri göğü inletirler...Bu 2 çocuk #pkk terörüyle öldü...Öldüüü   Tık yok şerefsizler de...	NOT
34830	@USER Sen şimdi vekilsin ve bu yapılanı tavsip ediyorsun öylemi amk.. Piçi demokratik tepki ha amk piçi sizin ben amk gavur ermeniler amk	OFF
26546	Teşkilata ihanet eden hiç kimse benim kardeşim değildir ve kanı pistir.   Laf meclisten içeridir.	NOT
17436	@USER Çözüm süreci ayağına tünellere,hendeklere göz yumup ordan gelen silahlarla mehmetçiklerimizin şehit olmasına göz yuman iktidarmı söylüyor bunları. Hainlik söylemde değil eylemdedir. Haddinizi bilin..oslo yu dolmabahçeyi haburu megriyi söylemiyorum bile..!	NOT
